case,policy,refinement,repetition,pass,points,attempts,rejects,solves,doubling,voltage_error,current_error,voltage_limit,current_limit,seconds
rlc_r0.5_a100_t0.001_b0,1,0,0,1,687,835,149,3525,170,0.1863195414705956,0.19793981581020148,0.50000199999999995,0.50000001999999999,0.0024096040000000001
rlc_r0.5_a100_t0.001_b0,1,1,0,1,706,842,137,3534,168,0.16352903610246017,0.17197954513563474,0.50000199999999995,0.50000001999999999,0.0023722130000000002
rlc_r20_a0.001_t9.9999999999999995e-07_b0,0,0,0,1,351,383,33,3447,383,5.2853037512973905e-09,2.143332307165749e-08,7.0000000000000007e-06,5.0200000000000002e-06,0.0020087429999999999
rlc_r20_a0.001_t9.9999999999999995e-07_b0,0,1,0,1,542,573,32,5157,573,2.5971912233105599e-09,2.1506265298772121e-08,7.0000000000000007e-06,5.0200000000000002e-06,0.002970749
rlc_r20_a0.001_t9.9999999999999995e-07_b0,1,0,0,1,356,380,25,1554,69,1.3519737172991951e-08,1.839899384460848e-08,7.0000000000000007e-06,5.0200000000000002e-06,0.0010606540000000001
rlc_r20_a0.001_t9.9999999999999995e-07_b0,1,1,0,1,546,571,26,2175,77,1.9353359926471171e-09,1.8963011096836111e-08,7.0000000000000007e-06,5.0200000000000002e-06,0.0014620449999999999
rlc_r20_a1_t9.9999999999999995e-07_b0,0,0,0,1,396,439,44,3951,439,4.1781825185216448e-06,1.9377624636982005e-05,0.0050020000000000004,0.00500002,0.0023174490000000001
rlc_r20_a1_t9.9999999999999995e-07_b0,0,1,0,1,587,627,41,5643,627,1.3662909706391169e-06,1.9344564937587294e-05,0.0050020000000000004,0.00500002,0.0032324570000000002
rlc_r20_a1_t9.9999999999999995e-07_b0,1,0,0,1,404,448,45,1854,85,9.3410699921192553e-06,1.7609918121358481e-05,0.0050020000000000004,0.00500002,0.0012442219999999999
rlc_r20_a1_t9.9999999999999995e-07_b0,1,1,0,1,594,637,44,2463,92,1.1407971624577407e-06,1.7500992896157808e-05,0.0050020000000000004,0.00500002,0.001637388
rlc_r20_a1_t0.001_b400,0,0,0,1,396,439,44,3951,439,4.195185198341278e-06,1.9377089477454201e-05,0.0050020000000000004,0.00500002,0.002288544
rlc_r20_a1_t0.001_b400,0,1,0,1,587,627,41,5643,627,1.382349988532372e-06,1.9344093572404297e-05,0.0050020000000000004,0.00500002,0.0032604790000000002
rlc_r20_a1_t0.001_b400,1,0,0,1,404,448,45,1854,85,9.3570839041490217e-06,1.7609513634497809e-05,0.0050020000000000004,0.00500002,0.0012443619999999999
rlc_r20_a1_t0.001_b400,1,1,0,1,594,637,44,2463,92,1.1568295406050311e-06,1.7500589286720269e-05,0.0050020000000000004,0.00500002,0.001647007
rlc_r20_a100_t0.001_b0,0,0,0,1,413,461,49,4149,461,0.00060431306024355536,0.0019194391498551511,0.50000199999999995,0.50000001999999999,0.0023854879999999998
rlc_r20_a100_t0.001_b0,0,1,0,1,604,650,47,5850,650,0.00018924052167790251,0.0019335718893511711,0.50000199999999995,0.50000001999999999,0.003403681
rlc_r20_a100_t0.001_b0,1,0,0,1,424,469,46,1953,91,0.00043172909376920643,0.0017499868037109678,0.50000199999999995,0.50000001999999999,0.0012799599999999999
rlc_r20_a100_t0.001_b0,1,1,0,1,612,661,50,2595,102,0.00036499573167247945,0.001735542029866366,0.50000199999999995,0.50000001999999999,0.001717341
nonlinear_charge_a0.001,0,0,0,0,144,169,26,1863,169,1.1255450172999662e-05,0,2.2000000000000001e-06,0,0.0010419990000000001
nonlinear_charge_a0.001,0,1,0,0,205,225,21,2421,225,1.0284860102692009e-05,0,2.2000000000000001e-06,0,0.001228301
nonlinear_charge_a0.001,1,0,0,0,145,170,26,901,39,1.2470167178369575e-05,0,2.2000000000000001e-06,0,0.00051128100000000004
nonlinear_charge_a0.001,1,1,0,0,206,228,23,1099,40,1.0122467705221051e-05,0,2.2000000000000001e-06,0,0.00067971999999999998
nonlinear_charge_a1,0,0,0,0,195,246,52,2717,246,0.0043881161179644404,0,0.0020002000000000002,0,0.0014063599999999999
nonlinear_charge_a1,0,1,0,0,253,298,46,3226,298,0.0041320737472587236,0,0.0020002000000000002,0,0.001633801
nonlinear_charge_a1,1,0,0,0,193,238,46,1267,58,0.0051675459275939521,0,0.0020002000000000002,0,0.000705599
nonlinear_charge_a1,1,1,0,0,250,291,42,1475,63,0.005409185708578468,0,0.0020002000000000002,0,0.00079655199999999996
nonlinear_charge_a100,0,0,0,0,195,248,54,2734,248,0.65169252807812905,0,0.20000020000000002,0,0.001378326
nonlinear_charge_a100,0,1,0,0,252,298,47,3219,298,0.49764805871921081,0,0.20000020000000002,0,0.001620907
nonlinear_charge_a100,1,0,0,0,193,242,50,1290,60,0.52349729354772134,0,0.20000020000000002,0,0.00071188200000000005
nonlinear_charge_a100,1,1,0,0,251,292,42,1459,61,0.43080571115169136,0,0.20000020000000002,0,0.00080606000000000004
