case,policy,refinement,repetition,pass,points,attempts,rejects,solves,doubling,voltage_error,current_error,voltage_limit,current_limit,seconds
rlc_r0.02_a1_t0.001_b400,1,0,0,0,732,894,163,3498,136,0.028452616641487793,0.027588496123482353,0.0050020000000000004,0.00500002,0.0025137050000000002
rlc_r0.02_a1_t0.001_b400,1,1,0,0,738,907,170,3573,142,0.02818845865559183,0.027324985051366268,0.0050020000000000004,0.00500002,0.0025450249999999998
rlc_r0.02_a1_t0.001_b400,2,0,0,0,678,795,118,3195,135,0.030178009473914358,0.029263021022674196,0.0050020000000000004,0.00500002,0.0023007209999999999
rlc_r0.02_a1_t0.001_b400,2,1,0,0,681,801,121,3207,134,0.029881598231725093,0.028962388218674029,0.0050020000000000004,0.00500002,0.0022884070000000001
rlc_r0.02_a100_t0.001_b0,0,0,0,0,772,951,180,8559,951,2.8377755692319653,2.7523669609420125,0.50000199999999995,0.50000001999999999,0.0051222610000000003
rlc_r0.02_a100_t0.001_b0,0,1,0,0,772,950,179,8550,950,2.8120577995616003,2.7255068525881683,0.50000199999999995,0.50000001999999999,0.0051189349999999998
rlc_r0.02_a100_t0.001_b0,1,0,0,0,767,934,168,3654,142,2.8423129405239749,2.7563339353833598,0.50000199999999995,0.50000001999999999,0.0025968240000000002
rlc_r0.02_a100_t0.001_b0,1,1,0,0,765,934,170,3642,140,2.8228324001850993,2.7362440102098802,0.50000199999999995,0.50000001999999999,0.002592956
rlc_r0.02_a100_t0.001_b0,2,0,0,0,710,834,125,3342,140,3.0178075976054046,2.9263544676229145,0.50000199999999995,0.50000001999999999,0.0023329620000000001
rlc_r0.02_a100_t0.001_b0,2,1,0,0,710,831,122,3327,139,2.9847592042164095,2.8927573803127444,0.50000199999999995,0.50000001999999999,0.002380732
rlc_r0.5_a0.001_t9.9999999999999995e-07_b0,0,0,0,1,510,585,76,5265,585,2.5445575947047241e-06,2.514973392938962e-06,7.0000000000000007e-06,5.0200000000000002e-06,0.0031820849999999999
